SNID,Age_global,Age_global_err,HR,HR_err,Age_median,Age_lower,Age_upper
14784,7.8,3.0,0.19,0.09,7.769971149368256,3.1678661084963315,9.08294272128888
14816,9.2,4.4,-0.26,0.07,9.18927736405188,1.8512096771777224,10.682562535871122
15129,1.9,1.2,0.0,0.08,1.922069219748,1.2659799298908478,3.611782929336632
15136,4.9,0.6,-0.22,0.07,4.91397454397138,4.210960194305286,5.485861955644442
15234,5.8,0.7,0.3,0.07,5.839802881659289,4.969534806361744,6.36278885294995
15301,4.2,1.9,0.01,0.07,4.169180757836302,2.1555939225131056,5.8944372639033755
15365,4.9,3.3,0.14,0.08,4.862293940091958,2.1559511308368418,8.81999145088729
15421,4.5,1.0,0.09,0.07,4.460829943671635,3.176955301134267,5.234851534503271
15425,7.9,3.8,-0.24,0.08,7.851852340519195,2.055711697629756,9.608325524866151
15443,5.3,1.0,0.04,0.09,5.312133439704688,4.005718767896777,6.10328737664016
15461,4.8,2.6,-0.05,0.07,4.775229168891222,1.948297963635878,7.10925321961577
15648,8.3,4.0,-0.19,0.13,8.314045945486468,1.8290124725293992,9.752078823901932
15866,8.2,4.0,-0.09,0.1,8.195812712718922,1.6294020312867579,9.67442479127896
16021,4.1,0.9,-0.07,0.06,4.102330808179821,3.1363091106933254,4.9247480302780415
16069,5.6,0.8,-0.02,0.07,5.570115601770979,4.860309563788785,6.360356485582068
16073,4.9,1.1,0.21,0.06,4.9169552661832165,3.5525768211302453,5.738256900330506
16116,3.3,1.0,0.17,0.07,3.309995265948329,2.3352554897002573,4.271485786931144
16163,6.6,1.1,-0.01,0.11,6.555675926382627,5.3851331707692385,7.542586050275466
16185,7.1,1.6,-0.15,0.08,7.104196994814029,5.617560146309972,8.723125496823133
16206,7.9,3.9,-0.34,0.09,7.916225164517018,1.7474933526484813,9.631137527683965
17168,2.2,1.1,0.08,0.09,2.1543173834010876,1.3958557477118638,3.5085937122470527
17186,1.4,0.7,0.36,0.07,1.4491709836357478,1.0116842972664664,2.3873973914051865
17206,2.7,3.3,-0.06,0.13,2.6850974298872177,1.762551150138073,8.444390210734964
17218,4.5,1.9,-0.11,0.09,4.510809033036233,2.084716371932552,5.9588446527902414
17695,3.4,1.3,-0.3,0.09,3.385342917344272,2.0441655124278286,4.578756993716741
18375,6.4,2.9,-0.25,0.06,6.44244209669128,2.4515501580848476,8.201651150695092
18602,4.5,1.4,0.12,0.07,4.5431851875902,2.9133806690802544,5.688399346561577
18604,6.6,3.0,0.05,0.08,6.5555248873633465,2.6906470998757923,8.71656156481607
18612,7.0,1.6,-0.17,0.06,6.990615126645713,4.376599649873682,7.674013627850392
18650,2.0,0.9,0.22,0.06,1.9717679832659771,1.253780531752536,3.1296752547947886
18697,5.7,1.4,-0.02,0.06,5.733499379474171,3.819354937842135,6.675091811490043
18749,7.9,3.9,-0.19,0.08,7.9235243472954835,1.7614352669084343,9.511282541719769
18804,4.7,1.2,-0.12,0.07,4.707126880772066,3.2539114886541274,5.644567082573729
18835,6.5,3.3,0.0,0.07,6.521470946575858,1.9116775252756175,8.418387368848881
19155,5.3,1.9,0.18,0.07,5.28891738862611,3.4208967961414474,7.183067994774375
19353,6.1,1.1,0.06,0.07,6.0884769867274535,4.465032843861165,6.758993398669494
19772,7.3,1.3,-0.5,0.08,7.263998927938869,5.925813062571578,8.542242000288143
19775,5.9,3.6,-0.05,0.07,5.929928913871692,1.634507968820397,8.933161036870583
19953,2.3,0.9,0.09,0.07,2.3382259746400478,1.5798843773395455,3.4693728886865998
19968,8.0,0.8,-0.18,0.09,7.983433658036794,7.235411855508632,8.765850973997209
19969,4.2,0.5,-0.12,0.06,4.202071627733372,3.531991033919137,4.566176497503764
20048,8.0,4.0,-0.03,0.1,8.000046416633271,1.5886127230763567,9.538841102266945
20064,8.9,1.1,-0.15,0.07,8.949037864340772,7.611623482131725,9.89850296533281
20084,5.1,2.6,0.1,0.07,5.105721142896376,2.128040971743857,7.389281869120408
20125,8.7,4.2,-0.21,0.08,8.65460497764916,1.5854229229364198,10.082819828863602
20528,9.3,4.0,-0.15,0.06,9.264822010403984,2.5255606455751036,10.558763336122228
20545,3.5,2.0,-0.28,0.09,3.5017988298917886,1.601700923370412,5.610203459549959
20575,7.8,3.9,-0.38,0.08,7.78479553775317,1.6448815207954495,9.40208821824264
20625,4.0,1.9,0.06,0.06,4.0440547195221255,1.949137064441796,5.77977782586034
20764,6.0,1.6,-0.18,0.09,6.04910880847036,3.6364731125625593,6.922566385514661
21034,5.9,0.7,0.08,0.06,5.911112148689072,5.028290469736902,6.396515871244134
21487,5.9,1.0,-0.3,0.08,5.895720148456514,4.732947734711203,6.7571525264462755
21502,10.7,1.0,-0.09,0.09,10.738601791132734,9.282428097600265,11.278035040479766
22075,10.0,4.1,-0.21,0.08,10.016403943028266,2.6929375695989246,10.875878150951545
